,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
79,Lagoa,0,PT,1555791743,55,37.14,-8.45,66.2,8.05
80,Richards Bay,100,ZA,1555792189,78,-28.77,32.06,76.37,26.26
81,Constitucion,20,MX,1555791016,6,23.99,-104.67,82.99,6.93
82,Kokopo,37,PG,1555792190,93,-4.34,152.27,73.67,1.86
83,The Valley,75,AI,1555791376,61,18.22,-63.06,82.4,14.99
84,Ambilobe,81,MG,1555792190,82,-13.19,49.05,75.83,8.84
85,Punta Arenas,0,CL,1555791787,66,-53.16,-70.91,51.8,26.4
86,Egvekinot,93,RU,1555792169,87,66.32,-179.17,5.27,3.69
87,Delvada,0,IN,1555792191,25,24.01,72.98,81.41,7.07
88,Bulgan,2,MN,1555792191,39,48.81,103.53,31.01,2.95
89,Antofagasta,20,CL,1555790400,59,-23.65,-70.4,66.2,16.11
90,Atuona,0,PF,1555792191,76,-9.8,-139.03,83.03,12.64
91,Nizwa,0,OM,1555792191,29,22.93,57.53,79.61,5.64
92,Kavieng,28,PG,1555792192,76,-2.57,150.8,82.13,2.19
93,Rio Grande,0,BR,1555790400,65,-32.03,-52.1,77.0,9.17
94,Portobelo,75,PA,1555792172,83,9.55,-79.65,93.0,11.41
95,Eureka,90,US,1555791907,81,40.8,-124.16,54.0,24.16
96,Hofn,31,IS,1555792193,96,64.25,-15.21,29.93,9.35
97,Tabuk,64,PH,1555792193,97,17.41,121.44,64.13,1.81
98,Port Elizabeth,1,US,1555792161,63,39.31,-74.98,73.0,10.29
99,Kingman,1,US,1555791943,13,35.19,-114.05,93.0,23.04
100,Jamestown,93,AU,1555792047,77,-33.21,138.6,60.17,10.09
101,Raychikhinsk,0,RU,1555792195,64,49.8,129.4,29.93,8.1
102,Touros,75,BR,1555790400,94,-5.2,-35.46,80.6,5.82
103,Pangnirtung,90,CA,1555786800,85,66.15,-65.72,15.8,18.34
104,Alyangula,47,AU,1555786800,100,-13.85,136.42,71.6,10.13
105,Bahar,20,IR,1555790400,69,34.91,48.44,37.4,2.24
106,Gizo,20,IL,1555792076,55,31.8,34.94,60.8,6.93
107,Leesburg,40,US,1555792037,43,39.12,-77.56,73.99,14.99
108,Rock Sound,66,BS,1555792196,77,24.9,-76.2,78.35,10.38
109,Naberera,86,TZ,1555792196,97,-4.2,36.93,62.15,4.5
110,Saint George,40,GR,1555789800,87,39.45,22.34,46.4,4.7
111,Fortuna,75,ES,1555792182,72,38.18,-1.13,60.8,9.17
112,Nouadhibou,0,MR,1555790400,72,20.93,-17.03,64.4,19.46
113,Mar del Plata,0,AR,1555792197,30,-46.43,-67.52,66.11,10.02
114,Guerrero Negro,8,MX,1555792198,87,27.97,-114.04,59.27,14.67
115,Bambous Virieux,40,MU,1555791544,83,-20.34,57.76,79.0,12.75
116,Flinders,65,AU,1555792169,100,-34.58,150.85,66.99,1.12
117,Srandakan,83,ID,1555792198,79,-7.94,110.25,82.13,16.11
118,Narsaq,31,GL,1555789800,48,60.91,-46.05,39.2,9.17
119,Mackay,40,CA,1555790400,36,53.65,-115.58,46.4,18.34
120,Torbay,90,CA,1555792110,100,47.66,-52.73,41.0,8.05
121,Bubaque,0,GW,1555792199,74,11.28,-15.83,76.91,13.44
122,Puerto Ayacucho,40,CO,1555790400,59,5.66,-67.63,91.4,6.93
123,Juneau,90,US,1555791969,75,58.3,-134.42,45.0,18.34
124,Khairagarh,79,IN,1555792200,25,21.42,80.98,89.15,4.79
125,Lompoc,75,US,1555792091,67,34.64,-120.46,63.0,8.05
126,Saskylakh,100,RU,1555792200,96,71.97,114.09,10.13,5.77
127,Winsum,0,NL,1555792200,57,53.33,6.52,57.0,6.93
128,Mushie,100,CD,1555792200,75,-3.02,16.92,79.07,3.06
129,Coro,85,VE,1555792201,68,11.41,-69.67,83.57,28.1
130,Khatanga,86,RU,1555792201,90,71.98,102.47,-3.92,7.18
131,Zarand,0,IR,1555790400,12,30.81,56.57,64.4,6.93
132,The Pas,1,CA,1555790400,57,53.82,-101.24,50.0,8.05
133,Tall Kayf,75,TR,1555790400,87,37.08,41.07,50.0,11.41
134,Morondava,0,MG,1555792204,77,-20.3,44.28,83.57,7.4
135,Luderitz,0,NA,1555790400,63,-26.65,15.16,64.4,13.87
136,Laranjeiras do Sul,100,BR,1555792128,93,-25.41,-52.42,70.25,1.07
137,Bridlington,7,GB,1555792206,87,54.08,-0.19,55.0,3.36
138,Porto Murtinho,0,BR,1555792206,53,-21.7,-57.88,90.77,4.47
139,Ukiah,1,US,1555792098,45,39.15,-123.21,66.99,14.99
140,Hithadhoo,100,MV,1555791924,80,-0.6,73.08,84.83,15.61
141,Kahului,75,US,1555791888,83,20.89,-156.47,75.99,12.75
142,Mahon,0,IE,1555792057,71,51.89,-8.4,55.4,4.7
143,Talaya,0,RU,1555790400,63,55.79,84.89,30.2,8.95
144,Atikokan,99,CA,1555792210,67,48.76,-91.62,56.39,6.93
145,Fort Nelson,20,CA,1555790400,18,58.81,-122.69,50.0,10.29
146,Storforshei,100,NO,1555792211,100,66.4,14.52,35.87,9.78
147,Kodiak,1,US,1555792152,0,39.95,-94.76,77.0,18.34
148,Kearney,1,US,1555791964,18,40.7,-99.08,88.0,12.75
149,Matagami,99,NG,1555792213,44,9.67,8.4,83.75,4.29
150,Chicama,0,PE,1555790400,78,-7.84,-79.15,73.4,10.29
151,Balud,69,PH,1555792214,91,12.22,124.89,74.39,3.47
152,Damietta,0,EG,1555786800,67,31.42,31.81,62.6,19.46
153,Tiznit,1,MA,1555792214,76,29.7,-9.73,63.23,30.62
154,Nantucket,90,US,1555792157,93,41.28,-70.1,66.0,20.8
155,Shache,4,CN,1555791976,39,38.42,77.24,72.0,3.0
156,Loandjili,100,CG,1555792215,86,-4.77,11.87,82.13,11.45
157,Esperance,20,TT,1555791401,55,10.24,-61.45,87.8,17.22
158,Glens Falls,90,US,1555792212,93,43.31,-73.64,71.01,6.93
159,Trincomalee,100,LK,1555792067,84,8.58,81.23,79.79,2.73
160,Clarence Town,75,AU,1555792208,93,-32.59,151.78,64.99,2.1
161,Ostrovnoy,100,RU,1555792216,98,68.05,39.51,37.13,15.05
162,Port Alfred,4,ZA,1555792039,88,-33.59,26.89,61.0,3.0
163,Hualmay,83,PE,1555792216,92,-11.1,-77.61,68.45,15.23
164,Parkes,0,AU,1555791771,75,-33.14,148.18,66.99,1.99
165,Manacapuru,75,BR,1555790400,70,-3.3,-60.62,84.2,5.82
166,Seymchan,84,RU,1555792217,89,62.93,152.39,25.79,2.19
167,Bowen,90,AU,1555792090,88,-20.01,148.25,75.0,6.93
168,Balestrand,100,NO,1555792217,60,61.21,6.53,41.63,6.55
169,Vancouver,90,US,1555792024,58,45.63,-122.67,62.01,10.29
170,Upernavik,100,GL,1555792218,80,72.79,-56.15,14.09,5.82
171,Penha,40,BR,1555792205,83,-26.78,-48.65,82.4,4.7
172,Naze,100,NG,1555792218,81,5.43,7.07,79.79,6.4
173,Kulhudhuffushi,98,MV,1555792218,72,6.62,73.07,85.19,11.03
174,Atar,0,MR,1555792218,15,20.52,-13.05,86.45,8.86
175,Airai,48,TL,1555792219,74,-8.93,125.41,74.03,6.11
176,Hakui,75,JP,1555792024,81,36.89,136.78,48.99,1.12
177,Ancud,75,CL,1555786800,76,-41.87,-73.83,53.6,6.93
178,Oliveira dos Brejinhos,100,BR,1555792219,85,-12.32,-42.89,74.03,2.98
179,Saldanha,2,PT,1555792219,44,41.42,-6.55,58.37,11.43
180,Karratha,98,AU,1555792220,18,-20.74,116.85,75.65,20.42
181,Castro,75,CL,1555790400,76,-42.48,-73.76,51.8,4.7
182,Beringovskiy,83,RU,1555792220,83,63.05,179.32,15.89,4.05
183,Wanning,0,AT,1555792218,35,48.64,13.53,55.4,6.93
184,Victoria,75,BN,1555790400,88,5.28,115.24,80.6,2.24
185,Mnogovershinnyy,100,RU,1555792222,79,53.94,139.92,28.85,7.63
186,Smithers,40,CA,1555790400,36,54.78,-127.17,46.4,2.24
187,East London,62,ZA,1555792222,72,-33.02,27.91,56.75,8.3
188,Bethel,90,US,1555791720,79,60.79,-161.76,30.2,6.38
189,Macaubas,100,BR,1555792223,80,-13.02,-42.7,75.11,1.16
190,Cooma,0,AU,1555791840,100,-36.24,149.13,50.0,11.41
191,Jaisalmer,0,IN,1555792224,22,26.91,70.91,86.81,12.86
192,San Patricio,100,PY,1555792224,83,-26.98,-56.83,79.07,4.54
193,Kathu,100,ZA,1555791321,63,-27.7,23.05,66.0,10.71
194,At-Bashi,87,KG,1555792224,49,41.17,75.81,43.25,0.92
195,Bacolod,64,PH,1555792225,76,10.68,122.95,81.23,7.92
196,Portland,90,US,1555792047,58,45.52,-122.67,62.01,10.29
197,Praia,20,BR,1555792053,42,-20.25,-43.81,82.4,8.05
198,Azle,1,US,1555792220,33,32.9,-97.55,82.99,9.17
199,Bagdarin,0,RU,1555792226,48,54.44,113.59,13.73,2.8
200,Okahandja,2,NA,1555790400,40,-21.98,16.91,71.6,5.82
201,Oum Hadjer,0,TD,1555792226,10,13.3,19.7,96.17,13.15
202,Rocha,0,UY,1555792136,70,-34.48,-54.34,58.91,6.15
203,Teuchitlan,5,MX,1555791737,16,20.68,-103.87,88.0,6.93
204,Pimentel,100,BR,1555792227,97,-3.7,-45.5,77.09,3.09
205,Half Moon Bay,90,US,1555792095,82,37.46,-122.43,63.0,20.8
206,Aquiraz,75,BR,1555792102,83,-3.9,-38.39,81.0,2.24
207,Kalmunai,100,LK,1555792227,88,7.42,81.82,76.55,3.6
208,Poum,40,MK,1555786800,30,41.28,20.71,53.6,9.17
209,Lovington,1,US,1555791965,9,32.94,-103.35,88.0,21.92
210,Dakar,22,SN,1555790400,88,14.69,-17.45,69.8,11.41
211,Meadow Lake,75,CA,1555790400,22,54.13,-108.44,57.2,20.8
212,Chokurdakh,0,RU,1555792228,87,70.62,147.9,7.43,7.34
213,Gobabis,91,NA,1555790400,23,-22.45,18.97,75.2,4.7
214,Tiksi,92,RU,1555792229,84,71.64,128.87,10.13,11.03
215,Oxapampa,100,PE,1555792229,97,-10.58,-75.4,50.63,3.47
216,Pithora,99,IN,1555792229,31,21.25,82.52,88.79,2.15
217,Machilipatnam,8,IN,1555791988,82,16.18,81.14,83.39,6.73
218,Carutapera,100,BR,1555792229,89,-1.2,-46.02,78.89,6.93
219,Sailana,0,IN,1555792229,21,23.46,74.92,86.63,5.95
220,Ribeira Grande,40,PT,1555790400,88,38.52,-28.7,62.6,2.24
221,Sitka,0,US,1555791389,21,37.17,-99.65,87.01,18.99
222,Leningradskiy,100,RU,1555792230,88,69.38,178.42,8.33,13.29
223,Hornepayne,100,CA,1555792230,40,49.22,-84.78,52.97,12.17
224,Iqaluit,20,CA,1555791762,65,63.75,-68.52,8.6,16.11
225,Port-Cartier,75,CA,1555791385,65,50.03,-66.88,45.0,5.82
226,Georgetown,75,GY,1555790400,62,6.8,-58.16,86.0,16.11
227,Bohicon,100,BJ,1555792232,79,7.18,2.07,81.23,8.28
228,Kutum,30,SD,1555792232,11,14.2,24.66,77.45,7.4
229,Makakilo City,20,US,1555792117,54,21.35,-158.09,82.4,8.05
230,Bonga,73,ET,1555792232,83,7.26,36.25,59.27,2.86
231,Ruteng,98,ID,1555792233,85,-8.61,120.46,74.39,3.89
232,Aktau,75,KZ,1555790400,93,43.65,51.16,42.8,4.47
233,Benguela,22,AO,1555792233,82,-12.58,13.4,79.61,10.65
234,Camacha,40,PT,1555790400,77,33.08,-16.33,62.6,18.34
235,Boddam,0,GB,1555792203,67,57.47,-1.78,57.2,4.7
236,Hasaki,75,JP,1555791540,100,35.73,140.83,55.4,1.83
237,Ixtapa,5,MX,1555792207,65,20.71,-105.21,81.0,13.87
238,San Luis,0,AR,1555792025,52,-33.3,-66.34,72.0,22.55
239,Inyonga,63,TZ,1555792235,85,-6.72,32.06,66.83,4.72
240,Miri,88,NG,1555792235,11,10.31,9.75,86.27,2.26
241,Bontang,100,ID,1555792236,98,0.12,117.47,73.31,1.61
242,Narasannapeta,58,IN,1555792236,86,18.42,84.04,81.23,4.99
243,Sabang,43,PH,1555792236,83,13.72,123.58,81.23,10.25
244,Acapulco,75,MX,1555789500,70,16.86,-99.88,84.2,5.82
245,Coihaique,0,CL,1555790400,66,-45.58,-72.07,55.4,9.17
246,Santa Cruz,90,US,1555792008,67,36.97,-122.03,66.0,6.93
247,Cancun,20,MX,1555791782,42,21.17,-86.85,82.4,12.75
248,Broome,0,GB,1555792208,71,52.47,1.45,59.0,3.36
249,Mangan,90,IN,1555792243,49,27.5,88.54,48.29,3.47
250,Rosarito,75,CO,1555790400,100,4.91,-75.23,80.6,2.06
251,Kothen,0,DE,1555792241,47,50.37,9.77,62.01,8.34
252,Beyneu,100,KZ,1555792244,55,45.32,55.19,48.47,5.32
253,Bozeman,1,US,1555792173,39,45.68,-111.04,66.99,3.36
254,Sioux Lookout,75,CA,1555790400,47,50.1,-91.92,57.2,6.93
255,Burnie,100,AU,1555792219,96,-41.05,145.91,64.0,8.28
256,Sampit,100,ID,1555792245,99,-2.54,112.95,73.31,1.36
257,College,75,US,1555792208,38,64.86,-147.8,43.0,9.17
258,Andapa,87,MG,1555792246,99,-14.66,49.65,63.77,2.13
259,Mancora,0,PE,1555790400,290,-4.1,-81.05,62.6,13.87
260,Marawi,64,PH,1555791335,86,8.0,124.29,75.0,7.0
261,Zuwarah,30,LY,1555792085,40,32.93,12.08,73.49,27.47
262,Dzaoudzi,40,YT,1555790400,89,-12.79,45.27,84.2,8.05
263,Mount Isa,0,AU,1555790400,52,-20.73,139.49,66.2,4.7
264,Pringsewu,86,ID,1555792249,94,-5.36,104.98,72.05,3.02
265,Linjiang,47,CN,1555792249,91,41.81,126.91,32.09,1.23
266,Mocuba,8,MZ,1555792249,98,-16.84,36.99,67.55,2.55
267,Narrabri,0,AU,1555790400,72,-30.33,149.78,59.0,2.24
268,Ambalavao,4,MG,1555792250,89,-21.83,46.94,64.49,4.36
269,Wuwei,0,CN,1555792250,43,37.93,102.64,52.79,2.06
270,Sorland,95,NO,1555792250,90,67.67,12.69,43.97,27.58
271,Yumen,0,CN,1555792250,28,40.29,97.04,58.19,4.16
272,Adilabad,59,IN,1555792250,42,19.68,78.53,88.61,10.36
273,Tautira,20,PF,1555791783,70,-17.73,-149.15,86.0,4.7
274,Codroipo,5,IT,1555792207,55,45.96,12.98,64.0,2.24
275,Sao Filipe,51,CV,1555792251,80,14.9,-24.5,72.05,17.0
276,Adrar,0,DZ,1555790400,9,27.87,-0.29,84.2,17.22
277,Cidreira,90,BR,1555792251,61,-30.17,-50.22,73.67,1.99
278,Dubbo,0,AU,1555790400,88,-32.25,148.6,62.6,10.29
279,Ahipara,0,NZ,1555792252,76,-35.17,173.16,64.49,6.67
280,Saint Anthony,1,US,1555792251,30,43.97,-111.68,70.0,18.34
281,Sovetskiy,79,RU,1555792253,84,56.76,48.47,37.13,4.32
282,Geraldton,90,CA,1555790400,70,49.72,-86.95,44.6,11.41
283,Solnechnyy,99,RU,1555792253,82,50.72,136.64,31.91,3.53
284,Bathsheba,40,BB,1555790400,62,13.22,-59.52,84.2,18.34
285,Aleksandrov Gay,0,RU,1555792254,49,50.14,48.57,40.91,1.79
286,Nuevo Laredo,1,US,1555791906,24,27.49,-99.5,91.4,13.87
287,Vezirkopru,75,TR,1555789800,75,41.14,35.45,41.0,12.75
288,Skibbereen,0,IE,1555790400,71,51.55,-9.27,55.4,4.7
289,Trinidad,100,UY,1555792255,60,-33.52,-56.9,66.65,8.5
290,Severnoye,99,RU,1555792256,53,54.09,52.54,42.53,1.01
291,Biak,100,ID,1555792256,98,-0.91,122.88,66.47,1.21
292,Ko Samui,38,TH,1555792146,72,9.54,99.94,84.65,3.53
293,Sambava,99,MG,1555792257,98,-14.27,50.17,70.97,3.22
294,Berlevag,99,NO,1555792257,74,70.86,29.09,42.17,17.72
295,Nome,1,US,1555792243,25,30.04,-94.42,80.01,6.93
296,Norman Wells,20,CA,1555790400,59,65.28,-126.83,37.4,5.82
297,Angoram,98,PG,1555792257,95,-4.06,144.07,75.29,1.52
298,Chimbarongo,20,CL,1555790400,49,-34.71,-71.04,68.0,4.7
299,Tongchuan,90,CN,1555790400,100,34.9,108.95,53.6,2.24
300,Zaysan,63,KZ,1555792258,75,47.47,84.87,48.11,4.68
301,Mount Gambier,40,AU,1555790400,77,-37.83,140.78,62.6,1.12
302,Borba,0,PT,1555786800,55,38.81,-7.46,64.4,12.75
303,Kavali,14,IN,1555792259,72,14.91,79.99,84.29,13.6
304,Pangkalanbuun,94,ID,1555792207,94,-2.68,111.62,74.03,1.81
305,Novobirilyussy,1,RU,1555792259,86,56.95,90.69,25.97,4.27
306,Gympie,59,AU,1555791606,100,-26.2,152.66,64.99,3.0
307,Kruisfontein,30,ZA,1555792259,89,-34.0,24.73,55.67,6.46
308,Broken Hill,40,AU,1555790400,35,-31.97,141.45,69.8,10.29
309,Kayunga,90,UG,1555792260,98,0.7,32.9,65.21,4.07
310,Balkanabat,72,TM,1555792260,75,39.51,54.36,49.91,7.43
311,Maceio,53,BR,1555791999,90,-9.67,-35.74,76.37,4.79
312,Astana,0,KZ,1555790400,92,51.13,71.43,23.0,8.95
313,Walvis Bay,0,NA,1555790526,82,-22.95,14.51,59.0,3.36
314,Grand Gaube,40,MU,1555791544,83,-20.01,57.66,79.0,12.75
315,Llanes,11,ES,1555792237,88,43.42,-4.75,60.01,5.3
316,Tucurui,72,BR,1555792261,80,-3.77,-49.67,82.49,2.55
317,Klaksvik,22,FO,1555791600,70,62.23,-6.59,44.6,12.75
318,Manjeshwar,40,IN,1555790400,78,12.72,74.89,80.6,8.95
319,Yatou,99,CM,1555792262,75,3.63,9.81,83.75,11.07
320,Meulaboh,95,ID,1555792262,82,4.14,96.13,83.03,7.2
321,Nelson Bay,75,AU,1555792233,93,-32.72,152.14,64.99,10.51
322,Benton Harbor,1,US,1555792202,49,42.12,-86.45,64.99,19.46
323,Kiama,2,AU,1555792169,100,-34.67,150.86,66.99,1.12
324,Itarema,100,BR,1555792263,88,-2.92,-39.92,78.53,5.68
325,Namibe,46,AO,1555792263,75,-15.19,12.15,73.67,9.53
326,Marshfield,75,US,1555792261,82,42.09,-70.71,71.01,14.99
327,Fukue,40,JP,1555792184,87,35.03,136.69,55.4,1.12
328,Aksarka,100,RU,1555792264,91,66.56,67.8,28.85,10.45
329,Dolzhanskaya,0,RU,1555792264,59,46.63,37.8,45.59,11.99
330,Rawson,0,AR,1555792229,28,-43.3,-65.11,68.27,9.66
331,Surin,40,TH,1555792226,79,14.88,103.49,90.0,8.05
332,Kununurra,76,AU,1555790400,94,-15.77,128.74,69.8,5.12
333,Kabo,51,CF,1555792265,47,7.69,18.62,85.19,4.09
334,Quzhou,0,CN,1555792265,80,28.97,118.86,68.27,2.48
335,Matara,75,PE,1555786800,51,-13.74,-72.9,59.0,9.84
336,Garissa,69,KE,1555792265,58,-0.46,39.64,84.47,17.54
337,Hamilton,20,BM,1555791400,68,32.3,-64.78,73.0,17.22
338,Slave Lake,90,CA,1555790400,56,55.28,-114.77,44.6,12.75
339,Parry Sound,93,CA,1555791383,95,45.34,-80.04,39.99,1.01
340,Laukaa,0,FI,1555792122,80,62.42,25.95,35.6,2.24
341,Buraydah,0,SA,1555790400,37,26.33,43.97,69.8,8.05
342,Maues,61,BR,1555792089,70,-3.38,-57.72,86.81,3.6
343,Kenai,1,US,1555792024,59,60.55,-151.26,39.99,9.17
344,Aguas Vermelhas,22,BR,1555792267,91,-15.75,-41.46,70.79,3.58
345,Paamiut,100,GL,1555792268,89,61.99,-49.67,33.53,7.54
346,Sungaipenuh,71,ID,1555792268,82,-2.08,101.38,75.29,3.27
347,Yar-Sale,100,RU,1555792268,97,66.83,70.83,22.55,9.42
348,Alugan,70,PH,1555792268,89,12.22,125.48,75.47,4.85
349,Huarmey,63,PE,1555792268,92,-10.07,-78.15,68.27,15.37
350,Gamba,87,CN,1555792269,51,28.28,88.52,27.05,4.97
351,Fengzhen,0,CN,1555792269,42,40.43,113.15,46.85,3.83
352,Mizan Teferi,96,ET,1555792269,62,6.99,35.58,66.83,3.4
353,Lakes Entrance,66,AU,1555792207,96,-37.88,147.99,48.99,4.23
354,Hirara,2,JP,1555792270,85,24.8,125.28,76.55,7.09
355,Kirakira,96,SB,1555792270,81,-10.46,161.92,81.41,2.28
356,Pestovo,0,RU,1555791266,60,55.36,37.98,51.01,6.71
357,Lazaro Cardenas,75,MX,1555792234,12,28.39,-105.62,93.0,4.7
358,Cherskiy,92,RU,1555792270,89,68.75,161.3,1.67,2.98
359,Tommot,100,RU,1555792271,91,58.97,126.27,21.65,8.57
360,Dayong,68,PH,1555792271,79,11.74,122.04,82.67,11.36
361,Port-Gentil,20,GA,1555790400,94,-0.72,8.78,78.8,2.24
362,Altay,96,CN,1555792271,93,47.83,88.13,38.03,3.22
363,Rosario,20,UY,1555791334,68,-34.31,-57.35,66.99,10.29
364,Winnemucca,40,US,1555790578,32,40.97,-117.74,66.2,27.51
365,Erzin,75,TR,1555791972,76,36.95,36.2,55.4,5.82
366,Bandarbeyla,15,SO,1555792273,70,9.49,50.81,80.15,6.4
367,Lingao,0,CN,1555792273,85,19.91,109.69,79.43,2.64
368,Salalah,40,OM,1555789800,74,17.01,54.1,82.4,4.7
369,Constantine,40,DZ,1555790400,87,36.36,6.61,57.2,3.36
370,Matay,0,EG,1555792274,48,28.42,30.79,62.15,16.55
371,Abu Samrah,100,SY,1555792274,77,35.3,37.18,51.35,9.13
372,Tehachapi,1,US,1555792240,52,35.13,-118.45,81.0,25.28
373,Coatepec Harinas,40,MX,1555789620,17,18.89,-99.72,86.0,5.82
374,Port Macquarie,90,AU,1555792205,100,-31.43,152.91,61.0,1.63
